Koordinaten;Name;Link;Beschreibung
POINT (-0.1083166 51.5139259);GAG325: Der Große Smog von 1952;https://www.geschichte.fm/archiv/gag325/;"Wir springen in dieser Folge ins Jahr 1952, und sprechen über eine Katastrophe, die in London tausende Menschenleben kostete, sich aber schon seit einiger Zeit angekündigt hatte. Das erwähnte Buch ist &#8222;The Big Smoke &#8211; A History of Air Pollution in London Since Medieval Times&#8220; von Peter Brimblecombe. Die erwähnte Freakonomics Episode gibt&#8217;s hier: https://freakonomics.com/podcast/pollution-brain/ Das Episodenbild zeigt die Londoner Tower Bridge (allerdings nicht aus dem Jahr 1952)."
POINT (-49.2486491 -16.6804247);GAG318: Der Nuklearunfall von Goiânia;https://www.geschichte.fm/archiv/gag318/;Zwei Müllsammler finden in einem verlassenen Gebäude ein Gerät für Strahlentherapien. Sie nehmen es mit und verkaufen es an einen Schrotthändler: So beginnt im Herbst 1987 die Geschichte der bislang größten zivilen Nuklearkatastrophe. Es werden zwar nur wenige Gramm des radioaktiven Caesium-Isotops 137 freigesetzt, doch die Auswirkungen sind gravierend: Vier Menschen sterben unmittelbar, nach dem Kontakt mit dem leicht blau leuchtenden Pulver, und 500 Menschen in Goiânia leiden noch heute unter den Folgen des Nuklearunfalls. Vielen Dank an Florian Aigner, der uns in der Folge als Experte unterstützt und uns über radioaktive Strahlung aufklärt. Er ist auf Twitter zu finden und hat vor kurzem mit seinem neuen Buch eine Liebeserklärung an die Wissenschaft herausgebracht: „Die Schwerkraft ist kein Bauchgefühl“. Der Abschlussbericht der IAEA ist hier veröffentlicht.
POINT (13.8337931 47.6212666);GAG306: Motoren, Krieg und Inflation – Aufstieg und Fall des Unternehmers Camillo Castiglioni;https://www.geschichte.fm/podcast/gag306;Wir sprechen in dieser Folge über die bemerkenswerte Biographie eines Mannes, der als Pionier der frühen, motorisierten Luftfahrt gilt und die Finanz- und Wirtschaftswelt in Mitteleuropa vor und nach dem Ersten Weltkrieg geprägt hat, wie kaum ein anderer. Camillo Castiglioni hat nicht nur gemeinsam mit Ferdinand Porsche das erste Militärluftschiff der Habsburger Monarchie gebaut, sondern ist auch dafür verantwortlich, dass es in Bayern heute einen der erfolgreichsten Autohersteller der Welt gibt. Kurzzeitig war Castiglioni einer reichsten Männer Europas und an unzähligen Unternehmen beteiligt. Am Ende verlor er alles und musste untertauchen, um zu überleben. Das Episodenbild zeigt einen in der Folge erwähnten Lohner-Porsche.
POINT (0.0550409 50.977444);GAG305: Der Piltdown-Mensch;https://www.geschichte.fm/podcast/gag305;Wir springen in dieser Folge ins Jahr 1912. In der Nähe des kleinen Ortes Piltdown im englischen East Sussex findet ein Amateur-Archäologe die Fragmente eines Schädels, und nach einigen Monaten der Ausgrabung und Entdeckung weiterer Fossilien, stellt sich heraus, dass dieser nun Piltdown-Mensch benannte Fund eine wahre Sensation für die Frühgeschichte des Menschen darstellt. Wir sprechen in dieser Episode darüber, warum der Piltdown-Mensch eine beinahe unglaubliche Sensation war, welchen Einfluss er auf die Wissenschaft hatte und warum dieser Einfluss heute in einem ganz anderen Licht gesehen wird als damals. Das Episodenbild zeigt eine Rekonstruktion des Piltdown-Menschen von James H. McGregor.
POINT (-9.1393366 38.7222524);GAG304: Der Falschgeldbetrug von Alves dos Reis;https://www.geschichte.fm/podcast/gag304;1925 erschütterte eine große Banknotenkrise Portugal: Mit einem dreisten, aber genialen Trick sorgte Alves dos Reis für einen der größten Geldfälschungsskandale überhaupt. Er fälschte die Geldscheine nicht in mühevoller Kleinarbeit, sondern ließ sie in großem Maßstab von einer offiziellen Druckerei herstellen – und eine eigens gegründete Bank nutzte er, um das Geld zu waschen und in Umlauf zu bringen. Wir sprechen in der Folge darüber, wie es Reis gelungen ist, eine Druckerei in London von seinem Vorhaben zu überzeugen. Waterlow and Sons hat schließlich 580.000 Banknoten geliefert, hergestellt mit den echten Escudo-Druckplatten, mit einem Wert von 290 Millionen Escudos. Das entsprach immerhin 16,5 Prozent der Gesamtmenge an Banknoten, die gerade in Portugal zirkulierten.
POINT (1.0017306 51.4753336);GAG302: Sealand und die Gründung einer Mikronation;https://www.geschichte.fm/podcast/gag302;Im Jahr 1967 besetzte Paddy Roy Bates eine aufgelassene Seefestung vor der englischen Ostküste und proklamierte einen neuen Staat: das Fürstentum Sealand. Die Mikronation wurde zwar nie offiziell anerkannt, dennoch ist es einer der erfolgreichsten Versuche, auf einer künstlichen Plattform einen eigenen Staat zu errichten. Wir sprechen in der Folge darüber, warum solche Seasteading-Versuche aufgrund des Völkerrechts auch kaum Aussicht auf Erfolg haben, wie es zu einem Putsch auf Sealand kam und ein deutscher Botschafter zu diplomatischen Verhandlungen die Plattform besuchte. Das in der Folge erwähnte Buch heißt Outlaw Ocean von Ian Urbina. Vielen Dank an unseren Experten für diese Folge: Prof. Alexander Proelß, Professor für internationales Seerecht und Umweltrecht, Völkerrecht und Öffentliches Recht an der Universität Hamburg.
POINT (-68.7712257 44.8016128);GAG294: Erwin Kreuz;https://www.geschichte.fm/podcast/gag294;Wir springen in dieser Folge ins Jahr 1977. Protagonist unserer Geschichte ist Erwin Kreuz, ein Braumeister aus Bayern, der die Stadt San Francisco besuchen will. Doch alles wird ganz anders verlaufen, als er es sich vorgestellt hat. Wir sprechen darüber, warum alles ganz anders verlief, und warum der fast 50-jährige Kreuz beinahe über Nacht zu einer internationalen Berühmtheit wurde. Das Episodenbild zeigt einen Teil der Golden Gate Bridge, der wahrscheinlich bekanntesten Sehenswürdigkeit San Franciscos.
POINT (9.3767173 47.4244818);GAG292: Paul Grüninger;https://www.geschichte.fm/podcast/gag292/;"Wir springen in dieser Folge ins Jahr 1938. Nach dem sogenannten Anschluss bleibt vielen Jüdinnen und Juden nur die Flucht ins Ausland. Vor allem in der eigentlich neutralen Schweiz erhoffen sie sich Zuflucht, doch schon bald macht auch die Schweiz für sie die Grenzen dicht. Wir sprechen in dieser Folge über einen Mann, Paul Grüninger, dessen Aufgabe eigentlich die Bewachung dieser Grenzen war, der aber schließlich nicht seinen dienstlichen Anweisungen sondern seinem Gewissen folgt und damit tausenden Menschen das Leben retten wird. Das in der Folge erwähnte Buch ist &#8222;Grüningers Fall&#8220; von Stefan Keller. Das Episodenbild zeigt Paul Grüninger, vermutlich aus dem Jahr 1939."
POINT (-73.9973273 40.7191413);GAG285: Joseph Petrosino und die Black Hand;https://www.geschichte.fm/podcast/gag285/;Um 1900 sorgten Erpresserbriefe im New Yorker Stadtteil Little Italy für Angst und Schrecken. Unterschrieben waren die Drohungen mit einer Zeichnung: einer schwarzen Hand. Italienische Einwanderer brachten die Black Hand-Methode mit in die USA, wo sich gleichzeitig die Mafia etablierte. Ein italienischer Einwanderer sollte der organisierten Kriminalität in New York Einhalt gebieten: Joseph Petrosino. Er wurde Leiter der Italian Squad der New Yorker Polizei. Doch schon bald geriet er selbst ins Visier der Mafia. Während er auf Sizilien ermittelte, wurde er 1909 in Palermo getötet.
POINT (-3.6550548 40.4558822);GAG281: Der Putschversuch vom 23. Februar 1981;https://www.geschichte.fm/podcast/gag281/;Der 23. Februar 1981 ging als der Tag – und die Nacht – in die Geschichte Spaniens ein, an dem die junge Demokratie auf dem Spiel stand. Viele verfolgten live über ihr Transistorradio, wie Antonio Tejero mit Teilen der Guardia Civil das Parlament stürmte, an die Decke schoss und die Abgeordneten als Geiseln nahm. Gleichzeitig ließ der Mitverschwörer Milans del Bosch in Valencia Panzer durch die Straßen fahren. Während Tejero im Parlament auf den „Elefante Blanco“ wartete, bereitete der König und Oberbefehlshaber der Armee, Juan Carlos I., seine öffentliche Reaktion auf den Putschversuch vor – eine Fernsehansprache, die kurz nach 1 Uhr nachts ausgestrahlt wurde. Der Putsch brach daraufhin zusammen. Viele Fragen sind aber bis heute ungeklärt. Vielen Dank an unseren Experten Julian Rieck, der auch in dieser Episode vom sehr empfehlenswerten Fußballpodcast Hörfehler zu hören ist. Das in der Folge erwähnte Buch (das Richard vor einiger Zeit mal Daniel geschenkt hat): Javier Cercas: Anatomie eines Augenblicks: Die Nacht, in der Spaniens Demokratie gerettet wurde.
POINT (2.2946291 48.8584007);GAG275: Victor Lustig – Der Mann, der den Eiffelturm verkaufte;https://www.geschichte.fm/podcast/gag275;Wir springen ins Jahr 1925 nach Paris. Der Trickbetrüger Victor Lustig plant seine bislang spektakulärste Aktion: Er will den Eiffelturm an einen Pariser Schrotthändler verkaufen. 7.000 Tonnen Eisen stellt er, getarnt als Generaldirektor des französischen Postministeriums, in Aussicht. Victor Lustig zählt zu den bekanntesten Trickbetrügern – oder Con Men. Er hat nicht nur den Eiffelturm verkauft, sondern auch Boxen, die angeblich Geld kopieren konnten, und er war einer der erfolgreichsten Geldfälscher in den 1920er-Jahren. Was schließlich den Secret Service auf den Plan rief, der nicht nur den US-Präsidenten schützen, sondern auch Geldfälschungen aufdecken soll.
POINT (10.3633352 48.2446558);GAG273: Der Alchemist und Goldmacher Franz Tausend;https://www.geschichte.fm/podcast/gag273/;Wir springen etwa 100 Jahre zurück und beschäftigen uns mit dem Alchemisten und Goldmacher Franz Seraph Tausend. Der umtriebige Geschäftsmann verkaufte nicht nur Lack, der versprach, Geigen wie Stradivaris klingen zu lassen, sondern plante die Goldherstellung in industriellem Maßstab. Er knüpfte Kontakte zur völkischen Bewegung und mit Erich Ludendorff stieg einer ihrer prominentesten Vertreter in das Gold-Geschäft mit ein. Tausend wurde zum Geldbeschaffer für die Gegner der Weimarer Republik. Und nach seiner Verhaftung 1929? Verwandelte er unter strenger Kontrolle Blei zu Gold. Oder doch nicht? Das genannte Buch über Tausend ist von Franz Wegener: Der Alchemist Franz Tausend.
POINT (9.9934006 53.5916382);GAG269: Monika Ertl und ein Mord im Generalkonsulat;https://www.geschichte.fm/podcast/zs269/;Wir springen nach Hamburg in den recht noblen Stadtteil Harvestehude. Im bolivianischen Generalkonsulat wurde dort am 1. April 1971 der Konsul Roberto Quintanilla Pereira erschossen. Am Tatort bleibt ein Zettel zurück: „Victoria o Muerte. ELN“. Die Tat konnte bis heute nicht aufgeklärt werden, wird aber meistens Monika Ertl zugeschrieben, die mit ihrer Familie in den 1950er-Jahren nach Bolivien ausgewandert ist. Roberto Quintanilla Pereira war vor seiner Zeit in Hamburg an der Ermordung von Che Guevara und weiteren Rebellen und Guerilleros beteiligt. Es geht in dieser Folge um die Umstände der Tat, den NS-Kriegsverbrecher Klaus Barbie und warum die Tatwaffe von dem Mann stammte, der das berühmte Bild Guevaras (auch das Episodenbild) in Europa vermarktete.
POINT (-85.7123605 32.4336496);GAG265: Syphilis und die Tuskegee-Syphilis-Studie;https://www.geschichte.fm/podcast/zs265/;Wir beschäftigen uns in dieser Folge mit der Geschichte einer Krankheit und wie sie zu ihrem Namen kam: Syphilis. Erstmals beschrieben wurde Syphilis Ende des 15. Jahrhunderts nach der Belagerung von Neapel durch das Heer des französischen Königs Karl VIII., doch es dauert einige Jahrhunderte, bis sich der heute verwendete Name durchsetzte. Bestand die Behandlung zunächst aus Quecksilberkuren, wurden im 20. Jahrhundert Arsen- und Malaria-Therapien entwickelt, für die es auch Nobelpreise gab. Ab den 1940er-Jahren stand dann mit Penicillin ein effektives Medikament gegen die Geschlechtskrankheit zur Verfügung. Außerdem sprechen wir über das längste Menschenexperiment des 20. Jahrhunderts: In den USA wurde von 1932 bis 1972 die Tuskegee-Syphilis-Studie durchgeführt. Ein menschenverachtendes Experiment, das gegen alle medizinethischen Grundsätze verstieß.
POINT (-97.5033472 -37.8336888);Zeitsprung-Extra mit Monika Ankele über Psychiatriegeschichte;https://www.geschichte.fm/podcast/krankenbetten-und-dauerbaeder/;Um 1900 ändern sich die Behandlungsmethoden in den Psychiatrien grundlegend: Bettbehandlung und Dauerbäder stehen jetzt im Zentrum der Einrichtungen. Die Historikerin Monika Ankele beschäftigt sich mit Psychiatriegeschichte und sie hat die Auswirkungen dieser neuen Therapien in einem Forschungsprojekt untersucht. Dieses Extra ist gleichzeitig eine Jubiläumsfolge: Auf den Tag genau vor zehn Jahren hat Daniel seinen ersten Podcast veröffentlicht. Damals ein Gespräch für die „Stimmen der Kulturwissenschaften“, gemeinsam mit Anna Masoner. Zu Gast war damals: Monika Ankele, die gerade ihre Dissertation abgeschlossen hatte und uns von ihrem Buch über den Alltag in Psychiatrien um 1900 berichtete. Zehn Jahre später gibt es nun also die Fortsetzung. Ein großer Dank an der Stelle an Martin Gasteiner und Anna Masoner, ohne die es diese erste Folge wohl so nie gegeben hätte. Auf die nächsten zehn Jahre! Das in der Folge erwähnte Buch: Material Cultures of Psychiatry
POINT (-73.9904914 40.7071571);GAG262: Die Strawhat Riots;https://www.geschichte.fm/podcast/zs262;"Wir springen in dieser Folge ins Jahr 1922, Ort des Geschehens ist New York City, und dort geschieht am 13. September etwas, das stark mit einer ganze bestimmten Sache verwoben ist: Hüten! Wir sprechen daher etwas über die Bedeutung von Hüten, warum sie, auch noch Anfang des 20. Jahrhunderts zu teils erheblichen Auseinandersetzungen führen konnten und warum wir heute so gut wie keine Hüte mehr tragen. Das Episodenbild zeigt Athlet und Manager Connie Mack im Jahr 1911 mit einem &#8222;Boater&#8220; Strohhut. Das erwähnte Buch heißt: &#8222;HATS – A History of Fashion in Headwear&#8220; von Hilda Amphlett."
POINT (-6.9448831 37.2628737);GAG259: Operation Mincemeat – Eine Geheimdienstaktion während des Zweiten Weltkriegs;https://www.geschichte.fm/podcast/zs259/;Wir springen in das Jahr 1943 an die spanische Küste: In Huelva findet ein Fischer die Leiche des britischen Soldaten Major William Martin – zusammen mit vertraulichen Dokumenten – und übergibt sie dem spanischen Militär. Was sie nicht merken: Major William Martin hat es nie gegeben und die Dokumente, die er bei sich trug, waren präpariert und sollten die Nationalsozialisten davon überzeugen, dass keine Invasion Siziliens geplant war. Eine Geschichte, wie aus einem James-Bond-Film, und tatsächlich hatte auch Ian Fleming, der Autor der James-Bond-Reihe, seine Finger im Spiel. In der Folge erwähnte
POINT (118.4680134 -31.02778);GAG247: Der Emu Krieg von 1932;https://www.geschichte.fm/podcast/zs247;Wir springen in dieser Folge ins Jahr 1932, der Ort des Geschehens ist Westaustralien. Die im Rahmen eines Regierungsprogrammes dort angesiedelten Veteranen des 1. Weltkrieges haben neben den Auswirkungen der Weltwirtschaftskrise mit einem tierischen Problem zu kämpfen: Emus. Um das Problem in den Griff zu bekommen, beschließen die Veteranen die Regierung um Hilfe zu bitten. Was folgt ist einer der wohl kuriosesten militärischen Einsätze der Geschichte. Das Profilbild zeigt einen Teil des australischen Wappens, das neben dem Känguruh auch einen Emu darstellt.
POINT (126.67573 37.9524803);GAG245: Operation Paul Bunyan;https://www.geschichte.fm/podcast/zs245;Wir springen in dieser Folge ins Jahr 1976. In der sogenannten DMZ – der demilitarisierten Zone zwischen Nord- und Südkorea – eskaliert die Beschneidung eines Baumes mit tragischem Ausgang. Allerdings bleibt es nicht dabei, denn die darauffolgende Aktion – Operation Paul Bunyan – hat Potential den Begriff der Eskalation neu zu definieren. Das Episodenbild zeigt den Baumstumpf des Baumes um den sich in dieser Folge alles dreht.
POINT (6.1764312 48.6962648);GAG240: René Blondlot und die Entdeckung der N-Strahlen;https://www.geschichte.fm/podcast/zs240;Wir springen in das Jahr 1903 und beschäftigen uns mit einer wissenschaftlichen Entdeckung: Der französische Physiker René Blondlot beobachtete bei Experimenten mit Röntgenstrahlen, dass sich die Helligkeit einer Lichtquelle veränderte. Er erklärte das mit einer neuen Art von Strahlung, die er zu Ehren der Universität in Nancy N-Strahlen nannte. Die N-Strahlen hätten eine der wichtigsten wissenschaftlichen Entdeckungen des 20. Jahrhunderts werden können. Viele Forscher haben begeistert Experimente mit den neuen Strahlen gemacht – aber einige wurden skeptisch. Und so stellte sich bald heraus: Die N-Strahlen gibt es gar nicht. Blondlot hatte sich selbst getäuscht und etwas beobachtet, was gar nicht existiert. In dieser Folge werden wir unterstützt von Florian Freistetter. Florian ist nicht nur Science Buster, Autor und Podcaster, er hat sich auch vor einiger Zeit einmal mit Blondlot und den N-Strahlen beschäftigt.
POINT (7.361647 48.741963);GAG239: Die Zabern-Affäre;https://www.geschichte.fm/podcast/zs239;Wir springen in dieser Folge an den Anfang des 20. Jahrhunderts. In der kleinen Stadt Zabern im Elsass – das zu jenem Zeitpunkt gerade erst seit knapp zwei Jahren volles Mitglied des deutschen Kaiserreichs ist – sorgen im Oktober 1913 die Aussagen eines jungen deutschen Soldaten für Aufruhr. Schnell schaukelt sich die Sache zu einer veritablen innenpolitischen Krise hoch, die sich als symptomatisch für das militarisierte Kaisertum Wilhelms II. herausstellen wird. Das erwähnte Buch ist Around the World in 80 Words von Paul Anthony Jones, außerdem war für diese Folge die Dissertation über Berthold von Deimling von Kirsten Zirkel äußerst hilfreich. Das Episodenbild zeigt patroullierende deutsche Soldaten in Zabern im Jahr 1913.
POINT (-77.0909809 38.8816208);GAG236: Monopoly – Die Geschichte eines Brettspiels;https://www.geschichte.fm/podcast/zs236;Wir springen ins Jahr 1904 in die USA. Elizabeth Magie bekommt ein Patent für das Brettspiel „The Landlord’s Game“, mit dem sie nicht nur den Kapitalismus ihrer Zeit kritisiert, sondern auch eine andere Wirtschafts- und Gesellschaftstheorie verbreiten möchte: Das Single-Tax-Prinzip nach Henry George. Das Spiel verbreitet sich in den folgenden Jahrzehnten in unterschiedlichen Communities, etwa in US-Colleges oder den Quäkern in Atlantic City. So entdeckt es auch Charles Darrow, der eine Variante des Spiels als „Monopoly“ der Spielefirma Parker Brothers anbietet. Darrow galt daher lange Zeit als Erfinder des Spiels, das heute wie kein anderes für den Kapitalismus steht und zu den erfolgreichsten Brettspielen überhaupt zählt. Das Episodenbild zeigt das „The Landlord’s Game“-Spielbrett aus dem Jahr 1904.
POINT (7.2919674 47.1633958);GAG235: Die Quarzkrise;https://www.geschichte.fm/podcast/zs235;Wir springen in dieser Folge mitten ins 20. Jahrhundert. Schauplatz ist die Schweiz, wo seit Jahrzehnten eine Industrie den Weltmarkt beherrscht: die Uhrenindustrie. Doch all das gerät in den 1970er Jahren ins Wanken, als eine neue Technologie für einen Umbruch sorgt, der tausende Arbeitsplätze vernichten und unzählige Betriebe in den Abgrund stürzen wird. Wir sprechen darüber, wie es dazu kam und wie die Schweiz sich mit aller Macht dagegen stemmte. Das Episodenbild zeigt keine Quarzuhr, sondern das Uhrwerk einer Taschenuhr, ca. Ende 19. Jahrhundert. Wer mehr über die Quarzkrise und weitere Revolutionen der Uhrenindustrie lesen will, sollte sich diese Reihe auf Hodinkee zu Gemüte führen.
POINT (2.3232834 48.8689937);GAG234: Das bekannteste Parfüm der Welt und seine russische Vorgeschichte;https://www.geschichte.fm/podcast/zs234;Wir springen nach Russland an den Anfang des 20. Jahrhunderts: Ernest Beaux kreiert für den russischen Zarenhof zum 300-jährigen Thronjubiläum der Romanows ein Parfüm. Und wie sich herausstellt, wird es zur Grundlage für das bekannteste Parfüm der Welt: Denn aufgrund des Ersten Weltkriegs und der Oktoberrevolution in Russland kehrt Beaux zurück nach Frankreich, wo er in Grasse, der Welthauptstadt des Parfüms, seinen Duft weiterentwickelt und 1920 auf Coco Chanel trifft. Doch es gibt noch ein zweites Parfüm, das seinen Duft dem Thronjubiläum der Romanows verdankt: Der am weitesten verbreitete Duft in der Sowjetunion: Das Rote Moskau, Krasnaja Moskwa, vom ebenfalls französischen Parfümeur Auguste Michel.
POINT (39.116667 -10.05);GAG230: Die Tendaguru-Expedition und das größte Dinosaurierskelett der Welt;https://www.geschichte.fm/podcast/zs230;Wir springen an den Anfang des 20. Jahrhunderts und beschäftigen uns mit einer Expedition: Am Tendaguru im heutigen Tansania – zu der Zeit Deutsch Ostafrika – wird eine riesige Lagerstätte mit Dinosaurier-Fossilien entdeckt. Von 1909 bis 1913 werden 225 Tonnen Material ausgegraben und nach Berlin ins Naturkundemuseum verschifft. Die Tendaguru-Expedition gilt als eine der erfolgreichsten, paläontologischen Ausgrabungen überhaupt. Ein Ergebnis der Expedition ist das heutige Wahrzeichen des Museums, der Giraffatitan brancai (vorher Brachiosaurus brancai), das größte montierte Dinosaurierskelett der Welt. Wir verfolgen die Geschichte der Tendaguru-Fossilien bis in die Gegenwart, da die Stimmen nach einer Rückgabe der Fossilien lauter werden. Das erwähnte Buch heißt Dinosaurierfragmente. Zur Geschichte der Tendaguru-Expedition und ihrer Objekte, 1906–2018. Afrikanische Arbeiter beim Transport der Fossilien in die nächstgelegene Hafenstadt Lindi.
